c_estate,e_estate,pc_addr,pe_addr,scp_mktc,scp_mkte,min_opdate,max_opdate,blgcount,pc_dev,pe_dev,facilities_c,facilities_e,url
碧堤半島,BELLAGIO,青山公路33號,33 CASTLE PEAK ROAD,新界西,NW,2003,2006,8,會德豐/九龍倉,WHEELOCK/THE WHARF,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、羽毛球場、桌球室、卡拉OK室、燒烤場、可養狗、高爾夫球練習場、電腦室、緩跑徑、宴會廳、美容中心、舞蹈室、健康舞室、電腦哥爾夫球練習室,Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Karaoke Room、Barbecue Area、Pet Friendly、Golf Driving Range、Computer Room、Jogging Trail、Ball Room、Beauty Salon、Dance Studio、Aerobic Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=3&code=AAPPWPPEPB&ref=OpenData
青怡花園,TSING YI GARDEN,青綠街7-19號,7-19 TSING LUK STREET,新界西,NW,1986,1986,7,長江,CK HUTCHISON,室外泳池、遊樂場 / 遊戲室、網球場、羽毛球場、緩跑徑,Swimming Pool、Playground/Playroom、Tennis Court、Badminton Court、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=2&code=ABGKGPWOPP&ref=OpenData
翠怡花園,GREENFIELD GARDEN,楓樹窩路1號,1 FUNG SHUE WO ROAD,新界西,NW,1989,1990,11,新鴻基/捷和,SUN HUNG KAI/CHIAP HUA,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、網球場、閱讀室 / 溫習室、緩跑徑,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Reading/Study Room、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=3&code=ABPAGPWXPP&ref=OpenData
盈翠半島,TIERRA VERDE,青敬路33號,33 TSING KING ROAD,新界西,NW,1999,1999,12,港鐵/和記黃埔/中信泰富/長江,MTR/HUTCHISON WHAMPOA/CITIC PACIFIC/CK HUTCHISON,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、日光浴場、桑拿浴室、乒乓球室、壁球場、網球場、桌球室、保齡球場、高爾夫球練習場,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Solarium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Bowling、Golf Driving Range,http://hk.centadata.com/ptest.aspx?type=3&code=ABPPGPWXPP&ref=OpenData
綠楊新村,LUK YEUNG SUN CHUEN,蕙荃路22-66號,22-66 WAI TSUEN ROAD,新界西,NW,1983,1984,17,置地/港鐵/怡和及其他,HONG KONG LAND/MTR/JARDINE & OTHER,遊樂場 / 遊戲室、網球場、籃球場,Playground/Playroom、Tennis Court、Basketball Court,http://hk.centadata.com/ptest.aspx?type=2&code=AEBKPPSJPK&ref=OpenData
麗城花園,BELVEDERE GARDEN,青山公路荃灣段530-590號,530-590 CASTLE PEAK ROAD TSUEN WAN,新界西,NW,1987,1991,19,長江,CK HUTCHISON,室外泳池、遊樂場 / 遊戲室、健身室、壁球場、網球場、籃球場、羽毛球場,Swimming Pool、Playground/Playroom、Gymnasium、Squash Court、Tennis Court、Basketball Court、Badminton Court,http://hk.centadata.com/ptest.aspx?type=3&code=AEESBPPSPA&ref=OpenData
海濱花園,RIVIERA GARDENS,怡樂街2-12號,2-12 YI LOK STREET,新界西,NW,1988,1989,20,新世界/德士古,NEW WORLD/TEXACO,室外泳池、遊樂場 / 遊戲室、健身室、壁球場、網球場、籃球場、羽毛球場、緩跑徑,Swimming Pool、Playground/Playroom、Gymnasium、Squash Court、Tennis Court、Basketball Court、Badminton Court、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=2&code=AEWPPPSOPW&ref=OpenData
浪翠園,SEA CREST VILLA,青山公路青龍頭18號,18 CASTLE PEAK ROAD TSING LUNG TAU,新界西,NW,1992,1995,13,新鴻基,SUN HUNG KAI,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、網球場、桌球室、可養狗、宴會廳,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Pet Friendly、Ball Room,http://hk.centadata.com/ptest.aspx?type=3&code=AKPPGPGHPP&ref=OpenData
牽晴間,DAWNING VIEWS,一鳴路23號,23 YAT MING ROAD,新界東,NE,1999,1999,12,恆基,HENDERSON,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、桌球室、可養狗、健康舞室、電腦哥爾夫球練習室,Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Pet Friendly、Aerobic Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=2&code=BDAAGPYXPA&ref=OpenData
YOHO TOWN,YOHO TOWN,元龍街8號,8 YUEN LUNG STREET,新界西,NW,2004,2010,16,新鴻基,SUN HUNG KAI,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、保齡球場、卡拉OK室、可養狗、音樂室、閱讀室 / 溫習室、宴會廳、健康舞室、柔道 / 瑜伽練習室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Bowling、Karaoke Room、Pet Friendly、Music Room、Reading/Study Room、Ball Room、Aerobic Studio、Judo/Yoga Room,http://hk.centadata.com/ptest.aspx?type=3&code=BEPPWPPAPK&ref=OpenData
采葉庭,THE PARCVILLE,元朗舊墟路33號,33 YUEN LONG KAU HUI ROAD,新界西,NW,2002,2002,14,新鴻基/新世界,SUN HUNG KAI/NEW WORLD,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、乒乓球室、羽毛球場、桌球室、可養狗、閱讀室 / 溫習室、電腦室、宴會廳、健康舞室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Table Tennis、Badminton Court、Snooker Room、Pet Friendly、Reading/Study Room、Computer Room、Ball Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=BEPPWPPEPK&ref=OpenData
蝶翠峰,SERENO VERDE,大棠路99號,99 TAI TONG ROAD,新界西,NW,2001,2002,16,新世界/恆基,NEW WORLD/HENDERSON,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、桌球室、卡拉OK室、燒烤場、可養狗、音樂室、閱讀室 / 溫習室、電腦室、宴會廳、太極圈、健康舞室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Snooker Room、Karaoke Room、Barbecue Area、Pet Friendly、Music Room、Reading/Study Room、Computer Room、Ball Room、Tai Chi Circle、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=BEPPWPPEPW&ref=OpenData
新屯門中心,SUN TUEN MUN CENTRE,龍門路55-65號,55-65 LUNG MUN ROAD,新界西,NW,1990,1990,10,新鴻基/港鐵,SUN HUNG KAI/MTR,室外泳池、遊樂場 / 遊戲室、健身室、乒乓球室、壁球場、網球場、羽毛球場、閱讀室 / 溫習室、更衣室,Swimming Pool、Playground/Playroom、Gymnasium、Table Tennis、Squash Court、Tennis Court、Badminton Court、Reading/Study Room、Changing Room,http://hk.centadata.com/ptest.aspx?type=2&code=BGSSBPAXPS&ref=OpenData
柏慧豪園,CENTRAL PARK TOWERS,天水圍,TIN SHUI WAI,新界西,NW,2007,2010,8,長江,CK HUTCHISON,室外泳池、兒童遊樂場 / 兒童遊戲室、按摩池、桑拿浴室、蒸氣浴室、桌球室、保齡球場、卡拉OK室、電影院、高爾夫球練習場、閱讀室 / 溫習室、太極圈、麻雀房、香薰水療,Swimming Pool、Children Playground/Play Room、Jacuzzi、Saunna Room、Steam Bath Room、Snooker Room、Bowling、Karaoke Room、Movie Theater、Golf Driving Range、Reading/Study Room、Tai Chi Circle、Marjong、Arome Spa,http://hk.centadata.com/ptest.aspx?type=3&code=BSPPWPPJPP&ref=OpenData
粉嶺中心,FANLING CENTRE,新運路33號,SAN WAN ROAD,新界東,NE,1990,1991,11,恆基,HENDERSON LAND,室外泳池、兒童遊樂場 / 兒童遊戲室、乒乓球室、網球場、平台花園、休憩雅座,Swimming Pool、Children Playground/Play Room、Table Tennis、Tennis Court、Terrence Garden、Open Lounge,http://hk.centadata.com/ptest.aspx?type=3&code=BYSPWPDOPA&ref=OpenData
海典灣,OCEAN VIEW,保泰銜1號,1 PO TAI STREET,新界東,NE,2003,2003,5,信和,SINO GROUP,室外泳池、兒童遊樂場 / 兒童遊戲室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、網球場、音樂室、電腦室、美容中心、健康舞室,Swimming Pool、Children Playground/Play Room、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Tennis Court、Music Room、Computer Room、Beauty Salon、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=DBPPWPPHPD&ref=OpenData
御龍山,THE PALAZZO,樂景街28號,28 LOK KING STREET,新界東,NE,2008,2008,10,信和,SINO GROUP,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、網球場、保齡球場、卡拉OK室、電影院、音樂室、宴會廳、健康舞室、香薰水療,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Tennis Court、Bowling、Karaoke Room、Movie Theater、Music Room、Ball Room、Aerobic Studio、Arome Spa,http://hk.centadata.com/ptest.aspx?type=2&code=DBPPWPPYPA&ref=OpenData
翠擁華庭,MONTE VISTA,沙安街9號,9 SHA ON STREET,新界東,NE,2000,2000,12,和記黃埔,HUTCHISON WHAMPOA,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、桌球室、保齡球場、電影院、高爾夫球練習場、宴會廳、健康舞室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Table Tennis、Squash Court、Snooker Room、Bowling、Movie Theater、Golf Driving Range、Ball Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=DBPPWPPYPD&ref=OpenData
海柏花園,BAYSHORE TOWERS,西沙路608號,608 SAI SHA ROAD,新界東,NE,1994,1994,6,長江,CK HUTCHISON,室外泳池、兒童遊樂場 / 兒童遊戲室、園林花園,Swimming Pool、Children Playground/Play Room、Landscape Garden,http://hk.centadata.com/ptest.aspx?type=2&code=DFRRURJVRV&ref=OpenData
新寶城,LA CITE NOBLE,銀澳路1號,1 NGAN O ROAD,九龍,KL,1999,1999,6,恆基,HENDERSON,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、桌球室、卡拉OK室、燒烤場、高爾夫球練習場、音樂室、閱讀室 / 溫習室、圖書館、電腦室、健康舞室、電腦哥爾夫球練習室,Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Karaoke Room、Barbecue Area、Golf Driving Range、Music Room、Reading/Study Room、Library、Computer Room、Aerobic Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=2&code=DJODQRSJRQ&ref=OpenData
東港城,EAST POINT CITY,重華路8號,8 CHUNG WA ROAD,九龍,KL,1997,1997,7,新鴻基,SUN HUNG KAI,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、壁球場、網球場、籃球場、羽毛球場、桌球室、閱讀室 / 溫習室、宴會廳、健康舞室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Reading/Study Room、Ball Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=DJRRQRSJRQ&ref=OpenData
愉景新城,DISCOVERY PARK,青山公路荃灣段398號,398 CASTLE PEAK ROAD TSUEN WAN,新界西,NW,1997,1998,12,新世界/香港興業,NEW WORLD/HKR INTERNATIONAL,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、羽毛球場、電影院、高爾夫球練習場、閱讀室 / 溫習室、緩跑徑、宴會廳、舞蹈室、健康舞室,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Badminton Court、Movie Theater、Golf Driving Range、Reading/Study Room、Jogging Trail、Ball Room、Dance Studio、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=DMHSZHHRHD&ref=OpenData
麗都花園,LIDO GARDEN,青山公路深井41-63號,41-63 CASTLE PEAK ROAD SHAM TSENG,新界西,NW,1989,1989,5,長江/熊谷組,CK HUTCHISON/KUMAGAI GUMI,室外泳池、健身室、按摩池、網球場、平台花園,Swimming Pool、Gymnasium、Jacuzzi、Tennis Court、Terrence Garden,http://hk.centadata.com/ptest.aspx?type=2&code=DZHHZHTYHH&ref=OpenData
華景山莊,WONDERLAND VILLAS,華景山路9號,9 WAH KING HILL ROAD,九龍,KL,1984,1987,22,新鴻基/恆基,SUN HUNG KAI/HENDERSON,室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、網球場、桌球室、閱讀室 / 溫習室、迷你酒吧,Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Reading/Study Room、Mnin Bar,http://hk.centadata.com/ptest.aspx?type=2&code=EBBKWPWEPD&ref=OpenData
畢架山一號,ONE BEACON HILL,畢架山1號,1 BEACON HILL ROAD,九龍,KL,2004,2004,16,長江,CK HUTCHISON,室內泳池、室外泳池、健身室、桑拿浴室、桌球室、電影院、音樂室、宴會廳,Indoor Swimming Pool、Swimming Pool、Gymnasium、Saunna Room、Snooker Room、Movie Theater、Music Room、Ball Room,http://hk.centadata.com/ptest.aspx?type=3&code=EDPPWPPJPS&ref=OpenData
君頤峰,PARC PALAIS,京士柏衛理道18號,18 KING'S PARK WYLIE ROAD,九龍,KL,2004,2004,8,新世界/信和/九龍倉/華人置業/萬泰,NEW WORLD/SINO GROUP/THE WHARF/CHINESE ESTATES/MANHATTAN GARMENTS,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、桑拿浴室、網球場、桌球室、閱讀室 / 溫習室、宴會廳、更衣室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Saunna Room、Tennis Court、Snooker Room、Reading/Study Room、Ball Room、Changing Room,http://hk.centadata.com/ptest.aspx?type=2&code=EEPPWPPEPG&ref=OpenData
港灣豪庭,METRO HARBOUR VIEW,福利街8號,8 FUK LEE STREET,九龍,KL,2003,2003,10,恆基/香港小輪,HENDERSON/HONG KONG FERRY,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、羽毛球場、桌球室、保齡球場、卡拉OK室、音樂室、閱讀室 / 溫習室、圖書館、宴會廳、舞蹈室、電腦哥爾夫球練習室,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Badminton Court、Snooker Room、Bowling、Karaoke Room、Music Room、Reading/Study Room、Library、Ball Room、Dance Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=3&code=EEPPWPPEPS&ref=OpenData
柏景灣,PARK AVENUE,海庭道18號,18 HOI TING ROAD,九龍,KL,2001,2001,9,信和/港鐵,SINO/MTR,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、羽毛球場、桌球室、高爾夫球練習場、浴足池 / 健足按摩室、健康舞室,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Golf Driving Range、Foot Massage、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=EEPPWPPEPW&ref=OpenData
維港灣,ISLAND HARBOURVIEW,海輝道11號,11 HOI FAI ROAD,九龍,KL,2000,2000,9,信和置業/中銀香港/星展銀行/嘉里建設/港鐵,SINO GROUP/BOC/DBS/KERRY/MTR,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、羽毛球場、桌球室、高爾夫球練習場、健康舞室,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Badminton Court、Snooker Room、Golf Driving Range、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=EEPPWPPJPW&ref=OpenData
君匯港,HARBOUR GREEN,海暉道,HOI FAI ROAD,九龍,KL,2006,2006,5,新鴻基/香港鐵路,SUN HUNG KAI/MTR,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、桌球室、卡拉OK室、音樂室、閱讀室 / 溫習室、宴會廳、美容中心、園林花園、空中花園、休憩雅座、多用途活動室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Snooker Room、Karaoke Room、Music Room、Reading/Study Room、Ball Room、Beauty Salon、Landscape Garden、Sky Garden、Open Lounge、Multi-purpose Room,http://hk.centadata.com/ptest.aspx?type=2&code=EEPPWPPYPW&ref=OpenData
泓景臺,BANYAN GARDEN,荔枝角道863號,863 LAI CHI KOK ROAD,九龍,KL,2003,2004,7,長江,CK HUTCHISON,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、乒乓球室、壁球場、籃球場、桌球室、卡拉OK室、電影院、可養狗、音樂室、閱讀室 / 溫習室、圖書館、電腦室、緩跑徑、宴會廳、健康舞室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Table Tennis、Squash Court、Basketball Court、Snooker Room、Karaoke Room、Movie Theater、Pet Friendly、Music Room、Reading/Study Room、Library、Computer Room、Jogging Trail、Ball Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=EGPPWPPEPK&ref=OpenData
曼克頓山,MANHATTAN HILL,寶輪街1號,1 PO LUN STREET,九龍,KL,2006,2006,5,新鴻基,SUN HUNG KAI,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、蒸氣浴室、乒乓球室、桌球室、電影院、音樂室、宴會廳、美容中心、柔道 / 瑜伽練習室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Steam Bath Room、Table Tennis、Snooker Room、Movie Theater、Music Room、Ball Room、Beauty Salon、Judo/Yoga Room,http://hk.centadata.com/ptest.aspx?type=2&code=EGPPWPPEPP&ref=OpenData
昇悅居,LIBERTE,荔枝角道833號,833 LAI CHI KOK ROAD,九龍,KL,2003,2003,7,新鴻基/信德,SUN HUNG KAI/SHUN TAK,室內泳池、室外泳池、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、網球場、桌球室、保齡球場、電影院、燒烤場、高爾夫球練習場、圖書館、浴足池 / 健足按摩室、緩跑徑、宴會廳、美容中心、舞蹈室,Indoor Swimming Pool、Swimming Pool、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Tennis Court、Snooker Room、Bowling、Movie Theater、Barbecue Area、Golf Driving Range、Library、Foot Massage、Jogging Trail、Ball Room、Beauty Salon、Dance Studio,http://hk.centadata.com/ptest.aspx?type=2&code=EGPPWPPJPK&ref=OpenData
黃埔新村,WHAMPOA ESTATE,民泰街39號,39 MAN TAI STREET,九龍,KL,1976,1978,25,成都物業,成都物業,,,http://hk.centadata.com/ptest.aspx?type=2&code=EKGBPPBSPB&ref=OpenData
傲雲峰,SKY TOWER,宋皇臺道38號,38 SUNG WONG TOI ROAD,九龍,KL,2004,2004,6,新世界/長江/上海實業,NEW WORLD/CK HUTCHISON/SHANGHAI IND INV,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、籃球場、羽毛球場、桌球室、卡拉OK室、電影院、音樂室、閱讀室 / 溫習室、電腦室、健康舞室、麻雀房、平台花園,Swimming Pool、Children's Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Basketball Court、Badminton Court、Snooker Room、Karaoke Room、Movie Theater、Music Room、Reading/Study Room、Computer Room、Aerobic Studio、Marjong、Terrence Garden,http://hk.centadata.com/ptest.aspx?type=2&code=EKPPWPPEPE&ref=OpenData
