c_estate,e_estate,pc_addr,pe_addr,scp_mktc,scp_mkte,min_opdate,max_opdate,blgcount,pc_dev,pe_dev,facilities_c,facilities_e,url
海逸豪園,LAGUNA VERDE,海逸道8號,8 LARUNA VERDE AVENUE,九龍,KL,2000,2001,25,長江/中電,CK HUTCHISON/CLP,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、桌球室、卡拉OK室、高爾夫球練習場、音樂室、閱讀室 / 溫習室、圖書館、電腦室、舞蹈室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Snooker Room、Karaoke Room、Golf Driving Range、Music Room、Reading/Study Room、Library、Computer Room、Dance Studio,http://hk.centadata.com/ptest.aspx?type=3&code=EKPPWPPEPK&ref=OpenData
翔龍灣,GRAND WATERFRONT,新碼頭街38號,38 SAN MA TAU STREET,九龍,KL,2006,2006,5,恆基/中華煤氣,HENDERSON/TOWN GAS,室外泳池、兒童嬉水池、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、桌球室、保齡球場、卡拉OK室、電影院、燒烤場、高爾夫球練習場、音樂室、電腦室、浴足池 / 健足按摩室、宴會廳、太極圈、健康舞室、香薰水療,Swimming Pool、Children's Pool、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Snooker Room、Bowling、Karaoke Room、Movie Theater、Barbecue Area、Golf Driving Range、Music Room、Computer Room、Foot Massage、Ball Room、Tai Chi Circle、Aerobic Studio、Arome Spa,http://hk.centadata.com/ptest.aspx?type=2&code=EKPPWPPYPE&ref=OpenData
擎天半島,SORRENTO,柯士甸道西1號,1 AUSTIN ROAD WEST,九龍,KL,2002,2003,5,會德豐/九倉/港鐵,WHEELOCK/THE WHARF/MTR,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、羽毛球場、桌球室、圖書館、宴會廳、太極圈、美容中心、健康舞室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Library、Ball Room、Tai Chi Circle、Beauty Salon、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=ESPPWPPEPD&ref=OpenData
港景峰,THE VICTORIA TOWERS,廣東道188號,188 CANTON ROAD,九龍,KL,2002,2002,3,長江/和記黃埔/中信,CK HUTCHISON/HUTCHISON WHAMPOA /CITIC,健身室、按摩池、桑拿浴室、蒸氣浴室、電影院、電腦室、美容中心、舞蹈室,Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Movie Theater、Computer Room、Beauty Salon、Dance Studio,http://hk.centadata.com/ptest.aspx?type=2&code=ESPPWPPEPS&ref=OpenData
凱旋門,THE ARCH, 柯士甸道西1號,1 AUSTIN ROAD WEST,九龍,KL,2005,2005,4,新鴻基/港鐵,SUN HUNG KAI/MTR,室內泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、桌球室、閱讀室 / 溫習室、圖書館,Indoor Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Snooker Room、Reading/Study Room、Library,http://hk.centadata.com/ptest.aspx?type=2&code=ESPPWPPHPD&ref=OpenData
漾日居,THE WATERFRONT,柯士甸道西1號,1 AUSTIN ROAD WEST,九龍,KL,2000,2000,6,永泰/港鐵及其他,WING TAI/MTR & OTHERS,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、羽毛球場、桌球室、高爾夫球練習場,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Badminton Court、Snooker Room、Golf Driving Range,http://hk.centadata.com/ptest.aspx?type=3&code=ESPPWPPJPS&ref=OpenData
麗港城,LAGUNA CITY,麗港街1號,1 LAGUNA STREET,九龍,KL,1990,1994,38,長江/蜆殼石油/和記黃埔,CK HUTCHISON/SHELL/HUTCHISON WHAMPOA,室外泳池、蒸氣浴室、壁球場、網球場、籃球場、羽毛球場、桌球室、卡拉OK室、閱讀室 / 溫習室、緩跑徑、健康舞室,Swimming Pool、Steam Bath Room、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Karaoke Room、Reading/Study Room、Jogging Trail、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=EWAPBPKEPP&ref=OpenData
匯景花園,SCENEWAY GARDEN,匯景道8號,8 SCENEWAY ROAD,九龍,KL,1991,1992,17,長江,CK HUTCHISON,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、羽毛球場、桌球室、音樂室、閱讀室 / 溫習室、電腦室、緩跑徑、舞蹈室、平台花園,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Music Room、Reading/Study Room、Computer Room、Jogging Trail、Dance Studio、Terrence Garden,http://hk.centadata.com/ptest.aspx?type=2&code=EWGYWPWXPD&ref=OpenData
淘大花園,AMOY GARDENS,牛頭角道77號,77 NGAU TAU KOK ROAD,九龍,KL,1981,1987,19,恆隆,HANG LUNG,室外泳池、兒童遊樂場 / 兒童遊戲室、網球場、桌球室、保齡球場、燒烤場、音樂室,Swimming Pool、Children Playground/Play Room、Tennis Court、Snooker Room、Bowling、Barbecue Area、Music Room,http://hk.centadata.com/ptest.aspx?type=3&code=EWKSBPYOPS&ref=OpenData
譽‧港灣,THE LATITUDE,太子道東638號,638 PRINCE EDWARD ROAD EAST,九龍,KL,2010,2010,7,新鴻基,SUN HUNG KAI,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桌球室、保齡球場、卡拉OK室、電影院、燒烤場、音樂室、宴會廳,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Snooker Room、Bowling、Karaoke Room、Movie Theater、Barbecue Area、Music Room、Ball Room,http://hk.centadata.com/ptest.aspx?type=2&code=EYPPWWPEWK&ref=OpenData
御皇庭,ROYAL GREEN,清曉路18號,18 CHING HIU ROAD,新界東,NE,2006,2006,3,恆基兆業/爪哇,HENDERSON/SEA GROUP,室外泳池、健身室、桑拿浴室、乒乓球室、卡拉OK室、電影院、可養狗、音樂室、圖書館、宴會廳、美容中心,Swimming Pool、Gymnasium、Saunna Room、Table Tennis、Karaoke Room、Movie Theater、Pet Friendly、Music Room、Library、Ball Room、Beauty Salon,http://hk.centadata.com/ptest.aspx?type=2&code=GEPPWPPEPD&ref=OpenData
皇府山,NOBLE HILL,馬適路38號,38 MA SIK ROAD,新界東,NE,2006,2006,7,新鴻基,SUN HUNG KAI,室內泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、蒸氣浴室、籃球場、桌球室、可養狗、圖書館、宴會廳,Indoor Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Steam Bath Room、Basketball Court、Snooker Room、Pet Friendly、Library、Ball Room,http://hk.centadata.com/ptest.aspx?type=2&code=GEPPWPPHPK&ref=OpenData
帝庭軒,REGENTVILLE,和滿街8-9號,8-9 WO MUN STREET,新界東,NE,2000,2002,7,信和/萬泰製衣,SINO/MANHATTAN GARMENTS,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、壁球場、網球場、卡拉OK室、燒烤場、高爾夫球練習場、閱讀室 / 溫習室、電腦室、浴足池 / 健足按摩室、緩跑徑、美容中心,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Squash Court、Tennis Court、Karaoke Room、Barbecue Area、Golf Driving Range、Reading/Study Room、Computer Room、Foot Massage、Jogging Trail、Beauty Salon,http://hk.centadata.com/ptest.aspx?type=3&code=GEPPWPPOPB&ref=OpenData
新峰花園,CLASSICAL GARDENS,馬窩路10號,10 MA WO ROAD,新界東,NE,1994,1997,27,1、3及4期信和；2期信和及中國海外,"PHASE 1,3,4 - SINO ; PHASE 2 - SINO, CHINA OVERSEA",室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、羽毛球場、桌球室、卡拉OK室、可養狗、高爾夫球練習場、音樂室、閱讀室 / 溫習室、健康舞室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Badminton Court、Snooker Room、Karaoke Room、Pet Friendly、Golf Driving Range、Music Room、Reading/Study Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=GWPSPPYSPG&ref=OpenData
太湖花園,SERENITY PARK,大埔頭路18號,18 TAI PO TAU ROAD,新界東,NE,1992,1994,15,信和/中國海外,SINO/CHINA OVERSEA,室內泳池、室外泳池、遊樂場 / 遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、網球場、桌球室、音樂室、健康舞室,Indoor Swimming Pool、Swimming Pool、Playground/Playroom、Gymnasium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Music Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=GWSBPPDYPB&ref=OpenData
帝堡城,CASTELLO,小瀝源路69號,69 SIU LEK YUEN ROAD,新界東,NE,1999,1999,7,新鴻基,SUN HUNG KAI,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、燒烤場、健康舞室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Barbecue Area、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=GYDPPPBSPB&ref=OpenData
聽濤雅苑,VISTA PARADISO, 恆明街2號,2 HANG MING STREET,新界東,NE,1998,1999,11,和記/協和建設,HUTCHISON WHAMPOA/協和建設,室外泳池、兒童嬉水池、健身室、日光浴場、桑拿浴室、乒乓球室、壁球場、網球場、桌球室、卡拉OK室、高爾夫球練習場、閱讀室 / 溫習室、健康舞室,Swimming Pool、Children's Pool、Gymnasium、Solarium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Karaoke Room、Golf Driving Range、Reading/Study Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=GYEBWPSEPB&ref=OpenData
富豪花園,BELAIR GARDENS,大涌橋路52號,52 TAI CHUNG KIU ROAD,新界東,NE,1982,1987,14,華懋,CHINACHEM,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、網球場、羽毛球場、多用途活動室,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Badminton Court、Multi-purpose Room,http://hk.centadata.com/ptest.aspx?type=2&code=GYEWPPGXPS&ref=OpenData
駿景園,ROYAL ASCOT,駿景路1號,1 TSUN KING ROAD,新界東,NE,1995,1996,10,新鴻基/港鐵,SUN HUNG KAI/MTR,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、壁球場、網球場、籃球場、羽毛球場、高爾夫球練習場、緩跑徑、宴會廳、迷你酒吧、舞蹈室、健康舞室、園林花園,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Squash Court、Tennis Court、Basketball Court、Badminton Court、Golf Driving Range、Jogging Trail、Ball Room、Mnin Bar、Dance Studio、Aerobic Studio、Landscape Garden,http://hk.centadata.com/ptest.aspx?type=3&code=GYPBBPWRPS&ref=OpenData
大埔中心,TAI PO CENTRE,安邦路9號,9 ON PONG ROAD,新界東,NE,1985,1987,22,新鴻基,SUN HUNG KAI,室外泳池、遊樂場 / 遊戲室、羽毛球場、可養狗,Swimming Pool、Playground/Playroom、Badminton Court、Pet Friendly,http://hk.centadata.com/ptest.aspx?type=3&code=GYWKPPKYPS&ref=OpenData
河畔花園,GARDEN RIVERA,大涌橋路20-30號,20-30 TAI CHUNG KIU ROAD,新界東,NE,1984,1984,6,恆基,HENDERSON,室外泳池、兒童遊樂場 / 兒童遊戲室、壁球場、網球場、羽毛球場,Swimming Pool、Children Playground/Play Room、Squash Court、Tennis Court、Badminton Court,http://hk.centadata.com/ptest.aspx?type=2&code=GYYYPPGOPS&ref=OpenData
豫豐花園,THE SHERWOOD,福亨村道8號,8 FUK HANG TSUEN ROAD,新界西,NW,2005,2005,12,恆基,HENDERSON,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、乒乓球室、桌球室、保齡球場、卡拉OK室、電影院、燒烤場、音樂室、閱讀室 / 溫習室、迷你酒吧、太極圈、美容中心、香薰水療,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Table Tennis、Snooker Room、Bowling、Karaoke Room、Movie Theater、Barbecue Area、Music Room、Reading/Study Room、Mnin Bar、Tai Chi Circle、Beauty Salon、Arome Spa,http://hk.centadata.com/ptest.aspx?type=2&code=KKPPWPPEPS&ref=OpenData
星河明居,GALAXIA,龍蟠街3號,3 LUNG POON STREET,九龍,KL,1998,1998,5,會德豐/九龍倉/新亞置業/夏利文地產,WHEELOCK/WHARF/NEW PACIFIC/HARRIMAN,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、壁球場、網球場、羽毛球場、桌球室、電影院、閱讀室 / 溫習室、健康舞室、麻雀房,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Squash Court、Tennis Court、Badminton Court、Snooker Room、Movie Theater、Reading/Study Room、Aerobic Studio、Marjong,http://hk.centadata.com/ptest.aspx?type=2&code=MSMTTHTVHT&ref=OpenData
德福花園,TELFORD GARDENS,偉業街33號,33 WAI YIP STREET,九龍,KL,1980,1982,21,合和/恆隆/港鐵,HOPEWELL/HANG LUNG/MTR,室外泳池、遊樂場 / 遊戲室、健身室、網球場、保齡球場,Swimming Pool、Playground/Playroom、Gymnasium、Tennis Court、Bowling,http://hk.centadata.com/ptest.aspx?type=2&code=MSNSTHSXHH&ref=OpenData
黃埔花園,WHAMPOA GARDEN,必嘉街121號,121 BAKER STREET,九龍,KL,1985,1991,88,和記黃埔,HUTCHISON WHAMPOA,室外泳池、遊樂場 / 遊戲室、健身室、壁球場、網球場、羽毛球場、緩跑徑,Swimming Pool、Playground/Playroom、Gymnasium、Squash Court、Tennis Court、Badminton Court、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=3&code=MZDIIHHAHN&ref=OpenData
邁亞美海灣,MIAMI BEACH TOWERS,湖翠路268號,268 WU CHUI ROAD,新界西,NW,1991,1991,6,信和,SINO GROUP,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、壁球場、網球場、羽毛球場、宴會廳,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Squash Court、Tennis Court、Badminton Court、Ball Room,http://hk.centadata.com/ptest.aspx?type=2&code=NXISIHSRHT&ref=OpenData
海翠花園,PIERHEAD GARDEN,湖翠路168-236號,168-236 WU CHUI ROAD,新界西,NW,1988,1988,6,新世界/港鐵,NEW WORLD/MTR,室外泳池、兒童遊樂場 / 兒童遊戲室、網球場、緩跑徑,Swimming Pool、Children Playground/Play Room、Tennis Court、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=2&code=NXMSIHSXHT&ref=OpenData
碧瑤灣,BAGUIO VILLA,域多利道 550 號,550 VICTORIA ROAD,香港,HK,1975,1979,33,新世界,NEW WORLD,室外泳池、兒童遊樂場 / 兒童遊戲室、網球場,Swimming Pool、Children Playground/Play Room、Tennis Court,http://hk.centadata.com/ptest.aspx?type=2&code=OJQCFRCORO&ref=OpenData
會展中心 會景閣,CONVENTION PLAZA APARTMENTS,港灣道 1 號,1 HARBOUR ROAD,香港,HK,1989,1989,1,新世界,NEW WORLD,室外泳池、健身室,Swimming Pool、Gymnasium,http://hk.centadata.com/ptest.aspx?type=1&code=OQSRFRRVRS&ref=OpenData
比華利山,BEVERLY HILL,樂活道 6 號,6 BROADWOOD ROAD,香港,HK,1988,1988,10,恆基,HENDERSON,室外泳池、健身室、桑拿浴室、壁球場、桌球室、屋苑專線巴士,Swimming Pool、Gymnasium、Saunna Room、Squash Court、Snooker Room、Estate Shuttle Bus,http://hk.centadata.com/ptest.aspx?type=2&code=OSRUUROHRS&ref=OpenData
太古城,TAIKOO SHING,太古灣道,TAIKOO WAN ROAD,香港,HK,1976,1987,61,太古,SWIRE,室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、乒乓球室、網球場、羽毛球場、高爾夫球練習場,Swimming Pool、Children Playground/Play Room、Playground/Playroom、Table Tennis、Tennis Court、Badminton Court、Golf Driving Range,http://hk.centadata.com/ptest.aspx?type=3&code=OVDUURFSRJ&ref=OpenData
港運城,ISLAND PLACE,丹拿道 51-61 號,51-61 TANNER ROAD,香港,HK,1996,1996,3,太古/中巴,SWIRE/CHINA MOTOR BUS,室外泳池、兒童遊樂場 / 兒童遊戲室、平台花園,Swimming Pool、Children Playground/Play Room、Terrence Garden,http://hk.centadata.com/ptest.aspx?type=2&code=OVQOFRFYRQ&ref=OpenData
荃威花園,ALLWAY GARDEN,荃景圍195號,195 TSUEN KING CIRCUIT,新界西,NW,1978,1981,16,合和,HOPEWELL,室外泳池、兒童遊樂場 / 兒童遊戲室,Swimming Pool、Children Playground/Play Room,http://hk.centadata.com/ptest.aspx?type=2&code=QUVUQRCERQ&ref=OpenData
美景花園,MAYFAIR GARDENS,細山路2-16號,2-16 SAI SHAN ROAD,新界西,NW,1982,1984,8,新鴻基,SUN HUNG KAI,室外泳池、兒童遊樂場 / 兒童遊戲室、網球場、籃球場,Swimming Pool、Children Playground/Play Room、Tennis Court、Basketball Court,http://hk.centadata.com/ptest.aspx?type=2&code=QVSDFRCERR&ref=OpenData
尚翹峰,THE ZENITH,皇道大道東258號,258 QUEEN'S ROAD EAST,香港,HK,2006,2006,3,華人置業/市建局,CHINESE ESTATES/URBAN RENEWAL AUTHORITY,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、乒乓球室、桌球室、卡拉OK室、燒烤場、音樂室、閱讀室 / 溫習室、電腦室、舞蹈室、麻雀房,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Table Tennis、Snooker Room、Karaoke Room、Barbecue Area、Music Room、Reading/Study Room、Computer Room、Dance Studio、Marjong,http://hk.centadata.com/ptest.aspx?type=3&code=SAPPWPPOPS&ref=OpenData
鯉景灣,LEI KING WAN,太康街,TAI HONG STREET,香港,HK,1988,1989,17,太古,SWIRE,遊樂場 / 遊戲室、網球場,Playground/Playroom、Tennis Court,http://hk.centadata.com/ptest.aspx?type=3&code=SBABBPBXPD&ref=OpenData
嘉亨灣,GRAND PROMENADE,太康街38號,38 TAI HONG STREET,香港,HK,2005,2005,5,恆基/中華煤氣,HENDERSON/TOWN GAS,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、保齡球場、卡拉OK室、高爾夫球練習場、電腦室、浴足池 / 健足按摩室、緩跑徑、宴會廳、太極圈、美容中心、柔道 / 瑜伽練習室、香薰水療,Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Bowling、Karaoke Room、Golf Driving Range、Computer Room、Foot Massage、Jogging Trail、Ball Room、Tai Chi Circle、Beauty Salon、Judo/Yoga Room、Arome Spa,http://hk.centadata.com/ptest.aspx?type=2&code=SBPPWPPEPD&ref=OpenData
康怡花園,KORNHILL,康愉街 43-45 號,43-45 HONG YUE STREET,香港,HK,1985,1987,32,恆隆/新世界/港鐵,HANG LUNG/NEW WORLD/MTR,室外泳池、遊樂場 / 遊戲室、健身室、壁球場、緩跑徑,Swimming Pool、Playground/Playroom、Gymnasium、Squash Court、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=2&code=SBYYBPEVPG&ref=OpenData
置富花園,CHI FU FA YUEN,置富道 9 號,9 CHI FU ROAD,香港,HK,1978,1981,27,置地,HONG KONG LAND,室外泳池、遊樂場 / 遊戲室、網球場、保齡球場,Swimming Pool、Playground/Playroom、Tennis Court、Bowling,http://hk.centadata.com/ptest.aspx?type=2&code=SDDEPPPYSE&ref=OpenData
海怡半島,SOUTH HORIZONS,海怡路 6 號,6 SOUTH HORIZON DRIVE,香港,HK,1991,1995,34,和記/長江/港燈,HUTCHISON WHAMPOA/CK HUTCHISON/HK ELECTRIC,室外泳池、遊樂場 / 遊戲室、健身室、按摩池、蒸氣浴室、乒乓球室、壁球場、網球場、羽毛球場、桌球室、高爾夫球練習場、閱讀室 / 溫習室、健康舞室,Swimming Pool、Playground/Playroom、Gymnasium、Jacuzzi、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Badminton Court、Snooker Room、Golf Driving Range、Reading/Study Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=SDDSGPWAPK&ref=OpenData
